Bevétel;Cég;dbszám;függvénynek;ism;Gyáriszám;hadrianus azonosító;Gyártó;Típus;CPU Típus;CPU Modell;CPU Órajel (mhz);Ram (mb);Ram típus;hdd (gb);hdd típus;állapot (%);badsector (db);cd/dvd;kijelző mérete;kijelző típusa;kijelző felbontás;VGA típusa;VGA kimenet;webcam;Licensz;Licensz sorszám;Billentyűzet nyelve;Akku;állapot;Műszaki hiba;Esztétikai hiba;csomagolás;javítva/bővítve;Besz.ár;ár 1-20;ár 20+;kisker;Nettó eladási ár;Eladás dátuma;Szállító;számlázó kategoria;számlázó leltár;leltár dátum;raktárhely;egyéb;Leírás;nettó kisker ár;NYERESÉG;Szállító - javitás
2021.09.14;Egis;1;#HIÁNYZIK;;;H21/3:6120;Acer;Aspire 5742;Pentium;;;4096;ddr3;nincs;;;;dvd-rw;15;;HD (1366 x 768);integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt D;nem kapcsol be, elavult;kopott, sérült burkolat;nincs;;2000;;;;13 390;2021.11.17;vatera;notebook;0;;;;;;11390;vatera
2021.03.01;InbevPraha;1;#HIÁNYZIK;;LXAKE0X070804005F82300;H21/0:5632;Acer;Aspire 9920;Core 2 Duo;;2200;2048;ddr2;nincs;;;;dvd-rw;19;;;integrált;nincs;webcam;;;magyar;rossz;használt D;hiányos, nem kapcsol be;kopott;nincs;;0;;;;;;;notebook;1;2022.01.07;006;;;;;
2019.12.12;Waberers;1;#HIÁNYZIK;;n.a;H19/3:1134;Acer;Travelmate 200;Celeron;;550;64;sd;nincs;;;;cd;12;;;integrált;nincs;nincs;;;magyar;rossz;használt C;hiányos, elavult;törött;nincs;;500;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-500;alkatrésznek
2021.09.01;raktárról;1;#HIÁNYZIK;;;H21/3:1004;Asus;A3000;Celeron M;;1500;256;ddr;40;;;;dvd;14;;;;;nincs;;;magyar;rossz;használt D;elavult;;nincs;;0;;;;1 812;2021.10.19;vatera;notebook;0;;;;;;1812;vatera
2021.09.14;Takarékinfo;1;#HIÁNYZIK;;;H21/3:7206;ASUS;A4000;;?;;?;ddr;?;sata hdd;;;nincs;;;;?;s-video;nincs;Win Xp home;00043615075945;magyar;;használt D;elavult, hiányos cd/dvd, hiányos billentyűzet;kopott, törött;nincs;;0;;;;;vatera - 2021.11.23;;notebook;1;2022.01.07;vatera;;;;;
2021.10.07;Takarékinfo;1;#HIÁNYZIK;;8AN0AS47323543H;H21/3:4158;ASUS;F5SR;Core 2 Duo;P8700;2530;2048;ddr2;nincs;;;;dvd-rw;15;;WXGA (1280 X 800);integrált;rca;webcam;Win 7 pro;;magyar;rossz;használt C;hiányos, rossz akku;erősen kopott;nincs;;0;;;;5 302;2021.11.18;vatera;notebook;0;;;;;;5302;vatera
2021.09.14;Takarékinfo;1;#HIÁNYZIK;;96N0AS416359264;H21/3:7106;Asus;K50IJ;Pentium;;;;;;;;;;;;;;;;;;;;használt D;elavult;;nincs;;0;;;;8 661;2021.11.19;vatera;notebook;0;;;;;;8661;vatera
2021.09.14;Takarékinfo;1;#HIÁNYZIK;;n.a;H21/3:7105;Asus;X51L;Pentium;;;;;;;;;;;;;;;;;;;;használt D;elavult;;nincs;;0;;;;240;2021.11.18;vatera;notebook;0;;;;;;240;vatera
2021.11.25;Elmű;1;#HIÁNYZIK;;F2N0CJ075540095;H21/4:4401;Asus;;;;;;;500;sata hdd;100;0;nincs;12;;;;;webcam;Win 8 pro;;magyar;;használt D;nem kapcsol be;karcos;nincs;;0;;;;;;;notebook;1;2022.01.07;011;;;;;
2019.12.12;Waberers;1;#HIÁNYZIK;;9X31KSBZM09S;H19/3:1136;Compaq;Evo 1015V;AMD;;?;256;ddr;nincs;;;;cd;14;;;integrált;nincs;nincs;;;magyar;rossz;használt D;hiányos, alaplap hibás;kopott, törött;nincs;;500;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-500;alkatrésznek
2017.10.19;Strabag;1;#HIÁNYZIK;;;H18/0:3131;Compaq;Evo N800v;Pentium 4;;1600;512;sd;nincs;;;;dvd ;15;;;;nincs;nincs;;;magyar;rossz;használt D;elavúlt modell;törött, kopott, ragad;nincs;;100;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-100;alkatrésznek
2019.12.12;Waberers;1;#HIÁNYZIK;;CNF33838WP;H19/3:1135;Compaq;NX9010;Celeron;;600;nincs;ddr;nincs;;;;dvd;15;;;integrált;nincs;nincs;;;magyar;nincs;használt C;hiányos, elavult;kopott, hiányos;nincs;;500;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-500;alkatrésznek
2021.10.12;Erste;1;#HIÁNYZIK;sokszoros;0510G210;selejt ;Compaq;;;;;;;20;ata;;;;;;;;;;;;;;teszteletlen;selejt, elavult, hdd megsemmísitésen;;nincs;;500;;;;selejt;2021.11.25;e-hulladék;notebook;0;;;;;;-500;e-hulladék
2021.10.01;raktárról;1;#HIÁNYZIK;;7602bw1;H21/3:3334;Dell;E5530;Core i5;3320m;2600;nincs;ddr3;nincs;;;;dvd-rw;15;;;;;;;;magyar;;használt D;halmozottan hiányos, hibás;;nincs;;0;;;;;vatera - 2021.10.15;;notebook;1;2022.01.07;vatera;;;;;
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0520;Dell;E5540;Core i5;4300;1900;nincs;ddr3;nincs;;;;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;nincs;használt C;hiányos, bios pass;kopott, burkolat sérült;nincs;;2000;;;;;;;notebook;1;2022.01.07;081;;;;;
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0519;Dell;E5540;Core i5;4310;2000;nincs;ddr3;nincs;;;;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;nincs;használt C;hiányos, nem kapcsol be;kopott;nincs;;2000;;;;15 750;2021.10.20;vatera;notebook;0;;;;;;13750;vatera
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0518;Dell;E5540;Core i5;4310;2000;nincs;ddr3;nincs;;;;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;nincs;használt C;hiányos, bios pass;kopott, burkolat sérült;nincs;;2000;;;;;;;notebook;1;2022.01.07;081;;;;;
2021.09.01;raktárról;1;#HIÁNYZIK;;;H20/3:8316;Dell;E6420;;;;;;;;;;;;;;;;;;;;;teszteletlen;;;nincs;;0;;;;10 237;2021.09.22;vatera;notebook;0;;;;;;10237;vatera
2021.05.31;Futureal;1;#HIÁNYZIK;;7VJ2WZ1;H21/1:6757;Dell;E6440;Core i5;4300M;2600;nincs;ddr3;nincs;;;;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;gyenge;használt C;hiányos;;nincs;;6000;;;;;;;notebook;1;2022.01.07;087;;;;;
2021.05.31;Futureal;1;#HIÁNYZIK;;76L354J;H21/1:6775;Dell;E6500;Core 2 Duo;P8400;2266;nincs;ddr2;nincs;;;;dvd-rw;15;;;integrált;display port;webcam;Win 7 pro;;magyar;rossz;használt D;elavult;;nincs;;1000;;;;10 324;2021.09.01;vatera;notebook;0;;;;;;9324;vatera
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0515;Dell;E6530;Core i5;3340;2300;nincs;ddr3;320;sata hdd;98;0;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;hiányos, bios pass;;nincs;;2000;;;;;;;notebook;1;2022.01.07;083;;;;;
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0516;Dell;E6530;Core i5;3340;2300;nincs;ddr3;320;sata hdd;100;0;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;hiányos, bios pass;sérült burkolat;nincs;;2000;;;;;;;notebook;1;2022.01.07;083;;;;;
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0517;Dell;E6530;Core i5;3340;2300;nincs;ddr3;320;sata hdd;98;0;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;hiányos, bios pass;;nincs;;2000;;;;;;;notebook;1;2022.01.07;083;;;;;
2021.05.07;Avon;1;#HIÁNYZIK;;7JNLQ32;H21/1:9059;Dell;E7250;Core i5;5300U;2300;nincs;ddr3;nincs;;;;nincs;12;;;integrált;display port;webcam;nincs;;magyar;nincs;használt C;hiányos;enyhén kopott touchpad és billentyűzet, karcos fedlap, display foltos;nincs;;20000;;;;;;;notebook;1;2022.01.07;088;;;;;
2021.11.05;ACG;1;#HIÁNYZIK;;;H21/3:7217;Dell;Inspiron N5110;Core i3;2310M;2100;;ddr3;;;;;dvd-rw;15,6;;HD (1366 x 768);integrált;hdmi;webcam;nincs;;magyar;gyenge;használt C;hiányos, alaplap hiba - nem kapcsol be;karcos, kopott;nincs;;1000;;;;11 181;2021.12.06;vatera;notebook;0;;;;;;10181;vatera
2021.11.05;ACG;1;#HIÁNYZIK;;;H21/3:7222;Dell;Inspiron N5110;Core i3;2310M;2100;;ddr3;;;;;dvd-rw;15,6;;HD (1366 x 768);integrált;hdmi;webcam;Win 7 home;00196203766035;nincs;gyenge;használt D;üzemképtelen, hiányos;erősen karcos, kopott;nincs;;1000;;;;;félretéve vaterára - 2022.01.18;;notebook;1;2022.01.07;vatera;;;;;
2021.05.31;Futureal;1;80000;;CTHLC82;H21/1:6745;Dell;Latitude 3470;Core i5;6200U;2300;12288;ddr3;240;sata ssd;98;0;nincs;14;;;integrált;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt A-;;display foltos, kopott;nincs;;24000;84000;80000;;;;;notebook;1;2022.01.07;árlista - 055;;;;;
2021.10.18;KH;1;#HIÁNYZIK;;;H21/3:5919;Dell;Latitude 5480;Core i5;7300U;2600;nincs;ddr4;nincs;;;;nincs;14;;FHD (1920 x 1080);integrált;hdmi;webcam;Win 10 pro;;magyar;nincs;használt D;hiányos, bios password;enyhén kopott;nincs;;4000;;;;;;;notebook;1;2022.01.07;081;;;;;
2021.10.01;raktárról;1;#HIÁNYZIK;;5PFJD1J;H21/3:4113;Dell;Latitude D600;Pentium;;;;;;;;;;;;;;;;;;;;használt D;elavult;;nincs;;0;;;;787;2021.11.26;vatera;notebook;0;;;;;;787;vatera
2018.05.03;garból;1;#HIÁNYZIK;;56tl92j;H18/1:1595;Dell;Latitude D610;Pentium M;;1700;512;ddr2;40;sata hdd;100;0;dvd-rw;14;;;;s-video;nincs;;;angol;gyenge;használt C;zsanér lötyög;;nincs;;3213;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-3213;alkatrésznek
2021.10.01;raktárról;1;#HIÁNYZIK;;BKXMF2J;H21/3:4115;Dell;Latitude D620;Core Duo;;2000;3072;ddr2;120;sata hdd;100;0;dvd-rw;14;;HD+ (1600 x 900);integrált;rca;nincs;Win Xp pro;;magyar;gyenge;használt D;elavult;kopott;nincs;;0;;;;6 858;2021.12.09;vatera;notebook;0;;;;;;6858;vatera
2021.10.01;raktárról;1;#HIÁNYZIK;;8KXMF2J;H21/3:4112;Dell;Latitude D620;Core Duo;;2000;3072;ddr2;120;sata hdd;100;0;dvd-rw;14;;HD+ (1600 x 900);integrált;rca;nincs;Win Xp pro;;magyar;gyenge;használt D;elavult;kopott;nincs;;0;;;;9 449;2021.12.09;vatera;notebook;0;;;;;;9449;vatera
2021.10.01;raktárról;1;#HIÁNYZIK;;632N43J;H21/3:4116;Dell;Latitude D630;Core 2 Duo;;;;;;;;;;;;;;;;;;;;használt D;elavult;;nincs;;0;;;;3 167;2021.11.26;vatera;notebook;0;;;;;;3167;vatera
2021.10.01;raktárról;1;#HIÁNYZIK;;8MZ0W3J;H21/3:4118;Dell;Latitude D630;Core 2 Duo;;;;;;;;;;;;;;;;;;;;használt D;elavult;;nincs;;0;;;;8 924;2021.12.09;vatera;notebook;0;;;;;;8924;vatera
2021.10.01;raktárról;1;#HIÁNYZIK;;599383J;H21/3:4120;Dell;Latitude D630;Core 2 Duo;;;;;;;;;;;;;;;;;;;;használt D;elavult;;nincs;;0;;;;13 394;2021.12.09;vatera;notebook;0;;;;;;13394;vatera
2020.12.08;KH;1;#HIÁNYZIK;;1qgyh72;H20/3:9040;Dell;Latitude E5250;Core i5;5300U;2300;4096;ddr3;120;sata ssd;100;0;nincs;12;;;integrált;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba;nagy displayfolt,enyhe kopás;nincs;2021.01.06;2000;;;;;;;notebook;1;2022.01.07;003;;;;;
2021.10.18;KH;1;#HIÁNYZIK;;;H21/3:5914;Dell;Latitude E5250;Core i5;5300U;2300;4096;ddr3;240;sata ssd;100;0;nincs;14;;FHD (1920 x 1080);integrált;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;hibás display;enyhén karcos;nincs;;6000;;;;;;;notebook;1;2022.01.07;089;;;;;
2020.10.21;KH;1;#HIÁNYZIK;;dq0yh72;H20/3:4433;Dell;Latitude E5250;Core i5;5300U;2300;4096;ddr3;nincs;;;;nincs;12;;;integrált;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;nincs hdd, kijelző hibás;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;095;;;;;
2020.12.08;KH;1;#HIÁNYZIK;;j4vxh72;H20/3:9041;Dell;Latitude E5250;Core i5;5300U;2300;4096;ddr3;nincs;;;;nincs;12;;;integrált;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;hiányos, kijelző hibás ;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;089;;;;;
2020.07.16;KH;1;#HIÁNYZIK;;gknxh72;H20/2:1507;Dell;Latitude E5250;Core i5;5300U;2300;8192;ddr3;250;sata ssd;95;0;nincs;12;;;integrált;hdmi;webcam;Win 10 pro;;magyar;gyenge;használt C;kijelző beázott;;nincs;;2000;;;;;;;notebook;1;2022.01.07;089;;;;;
2020.04.27;KH;1;#HIÁNYZIK;;jztxh72;H20/1:1998;Dell;Latitude E5250;Core i5;5300U;2300;8192;ddr3;250;sata ssd;92;3;nincs;12;;;integrált;hdmi;webcam;;;magyar;nincs;használt D;kijelző hibás, lefagy, nincs akku, hdd rossz;;nincs;;1000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;gn0yh72;H21/2:0656;Dell;Latitude E5250;Core i5;5300U;2300;8192;ddr3;256;sata ssd;96;0;nincs;12;;;integrált;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba;kopott;nincs;;5000;;;;;;;notebook;1;2022.01.07;027;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;69nxh72;H21/2:0678;Dell;Latitude E5250;Core i5;5300U;2300;8192;ddr3;256;sata ssd;94;0;nincs;12;;;integrált;display port;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba;kopott;nincs;;5000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;4pgyh72;H21/2:0682;Dell;Latitude E5250;Core i5;5300U;2300;8192;ddr3;256;sata ssd;97;0;nincs;12;;;integrált;display port;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba;kopott;nincs;;5000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;5n5yh72;H21/2:0683;Dell;Latitude E5250;Core i5;5300U;2300;8192;ddr3;256;sata ssd;90;0;nincs;12;;;integrált;display port;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba;kopott;nincs;;5000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;c7vxh72;H21/2:0686;Dell;Latitude E5250;Core i5;5300U;2300;8192;ddr3;256;sata ssd;94;0;nincs;12;;;integrált;display port;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba ;kopott;nincs;;5000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;dl0yh72;H21/2:0685;Dell;Latitude E5250;Core i5;5300U;2300;16384;ddr3;256;sata ssd;94;0;nincs;12;;;integrált;display port;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba;kopott;nincs;;5000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;70hxh72;H21/2:0680;Dell;Latitude E5250;Core i5;5300U;2300;inkompatibilis ram;ddr3;nincs;;;;nincs;12;;;integrált;display port;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba, hiányos;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;c8vxh72;H21/2:0681;Dell;Latitude E5250;Core i5;5300U;2300;nincs;ddr3;256;sata ssd;96;0;nincs;12;;;integrált;display port;webcam;Win 8 pro;;magyar;gyenge;használt C;display hiba, hiányos;kopott burkolat;nincs;;5000;;;;;;;notebook;1;2022.01.07;089;;;;;
2020.10.21;KH;1;#HIÁNYZIK;;bf0yh72;H20/3:4430;Dell;Latitude E5250;Core i5;5300U;2300;nincs;ddr3;nincs;;;;nincs;12;;;integrált;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;kijelző hibás, hiányos;;nincs;;2000;;;;;;;notebook;1;2022.01.07;089;;;;;
2020.10.21;KH;1;#HIÁNYZIK;;4l0yh72;H20/3:4432;Dell;Latitude E5250;Core i5;5300U;2300;nincs;ddr3;nincs;;;;nincs;12;;;integrált;hdmi;webcam;Win 8 pro;;magyar;nincs;használt C;erősen hiányos, kijelző hibás;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.03.30;KHBank;1;#HIÁNYZIK;;8n5yh72;H21/0:8038;Dell;Latitude E5250;Core i5;5300U;2300;nincs;ddr3;nincs;;;;nincs;12;;;integrált;hdmi;webcam;Win 8 pro;;magyar;nincs;használt C;kijelző hibás, hiányos;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;089;;;;;
2020.04.27;KH;1;#HIÁNYZIK;;5222;H20/1:1999;Dell;Latitude E5250;Core i5;5300U;2300;nincs;ddr3;nincs;;;;nincs;12;;;integrált;hdmi;webcam;;;magyar;rossz;használt D;hiányos, bios password;kijelző karcos;nincs;;1000;;;;;;;notebook;1;2022.01.07;089;;;;;
2021.10.18;KH;1;#HIÁNYZIK;;;H21/3:5915;Dell;Latitude E5250;Core i5 ;5300U;2300;4096;ddr3;256;sata ssd;92;0;nincs;14;;FHD (1920 x 1080);integrált;hdmi ;webcam;Win 8 pro;;magyar;rossz;használt C;hibás display, rossz akku;enyhén karcos;nincs;;6000;;;;;;;notebook;1;2022.01.07;089;;;;;
2017.10.11;T H A;1;#HIÁNYZIK;;na;H18/0:1816;Dell;Latitude E5250;;;;4096;;;;;;;;;;;;;;;;;új;;;bontatlan, eredeti doboz;;100000;;;;keresni:;ennek meg kell lennie 2022.01.18;;notebook;1;;;;;;;
2021.11.29;KH;1;#HIÁNYZIK;;9nb63g2;H21/4:0684;Dell;Latitude E5270;Core i5;6300U;2400;8192;ddr4;256;m2sata ssd;93;0;nincs;14;;HD (1366 x 768);integrált;hdmi;webcam;Win 8 pro;;magyar;nincs;használt C;akkumulátor hiányos;;nincs;;28000;;;;44 500;2021.12.03;dolgozói - KH;notebook;0;;;;;;16500;dolgozói
2021.07.15;KH;1;#HIÁNYZIK;;4q8sbg2;H21/2:0679;Dell;Latitude E5270;Core i5;6300U;2400;8192;ddr4;256;m2sata ssd;94;0;nincs;12;;;integrált;display port;webcam;Win 8 pro;;magyar;nincs;használt C;hiányos;display foltos, kopott;nincs;;5000;;;;;;;notebook;1;2022.01.07;087;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;G3056S1;H21/2:0671;Dell;Latitude E5420;Core i5;?;?;8192;ddr3;240;sata ssd;94;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt D;törött zsanér, rossz akku, nem bekapcsolható;kopott;nincs;;2000;;;;16 378;2021.10.11;vatera;notebook;0;;;;;;14378;vatera
2020.11.11;Friesland;1;#HIÁNYZIK;;55ZQWL1;H20/3:8325;Dell;Latitude E5420;Core i5;2410M;2300;2048;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt C;bios password, rossz akku;kopott;nincs;;3000;;;;10 866;2021.10.19;vatera;notebook;0;;;;;;7866;vatera
2021.05.18;Sberbank;1;#HIÁNYZIK;;3044CT1;H21/1:9358;Dell;Latitude E5420;Core i5;2430M;2400;4096;ddr3;160;sata hdd;78;103;dvd;14;;;integrált;hdmi;nincs;Win 7 pro;;magyar;rossz;használt C;rossz hdd, rossz akku;kopott, törött;nincs;;500;;;;20 122;2021.10.14;vatera;notebook;0;;;;;;19622;vatera
2019.12.12;Affidea;1;#HIÁNYZIK;;;H20/0:0266;Dell;Latitude E5420;Core i5;2430M;2400;4096;ddr3;nincs;;;;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt C;bios password, hiányos;;nincs;;2000;;;;18 740;2021.10.08;vatera;notebook;0;;;;;;16740;vatera
2019.02.12;Delta_KH;1;#HIÁNYZIK;;G2YT5S1;H19/0:4169;Dell;Latitude E5420;Core i5;2520M;2500;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;gyenge;használt A;;;nincs;;12000;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-12000;alkatrésznek
2021.07.14;KH;1;30000;;5HB4CT1;H21/2:2501;Dell;Latitude E5420;Core i5;2520M;2500;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;gyenge;használt A-;;enyhén kopott;nincs;2021.09.22;16000;34000;30000;;30 000;2021.09.28;nagyker - Rasztovich;notebook;0;2021.09.24;árlista;;;;14000;nagyker
2021.07.15;KH;1;#HIÁNYZIK;;5HC7CT1;H21/2:0664;Dell;Latitude E5420;Core i5;2520M;2500;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt C;törött zsanér, hibás touchpad (bal gomb), rossz akku;kopott, karcos, törött;nincs;;2000;;;;10 498;2021.11.18;vatera;notebook;0;;;;;;8498;vatera
2021.07.15;KH;1;#HIÁNYZIK;;5HMXBT1;H21/2:0669;Dell;Latitude E5420;Core i5;2520M;2500;4096;ddr3;320;sata hdd;64;60;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt C;akku rossz, ssd rossz;törött burkolat;nincs;;2000;;;;14 803;2021.11.11;vatera;notebook;0;;;;;;12803;vatera
2019.09.12;Delta_KH;1;#HIÁNYZIK;;7mtnjv1;H19/2:4649;Dell;Latitude E5430;Core i5;3320M;2600;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;gyenge;használt A;;;nincs;;12000;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-12000;alkatrésznek
2021.07.15;KH;1;#HIÁNYZIK;;G0Z7ZW1;H21/2:0684;Dell;Latitude E5430;Core i5;3320M;2600;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;HD (1366 x 768);integrált;display port;webcam;Win 7 pro;;magyar;gyenge;használt A-;;kopott;nincs;2021.12.13;6000;árazás alatt;árazás alatt;;;;;notebook;1;2022.01.18;árlista;;;;;
2019.06.12;Delta_KH;1;#HIÁNYZIK;;;H19/1:6137;Dell;Latitude E5430;Core i5;3320M;2600;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;gyenge;használt D;be sem kapcsol;;nincs;;4000;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-4000;alkatrésznek
2018.05.02;KH;1;#HIÁNYZIK;;7pn8ty1;H18/1:6841;Dell;Latitude E5430;Core i5;3320M;2600;nincs;ddr3;nincs;;;;dvd-rw;"14""";;;;hdmi;webcam;Win 7 pro;;magyar;nincs;használt D;hiányos, nem ad képet;;nincs;;2000;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-2000;alkatrésznek
2021.07.14;KH;1;38000;;gqv8ty1;H21/2:2454;Dell;Latitude E5430;Core i5;3340M;2700;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;gyenge;használt A;;;nincs;;16000;42000;38000;;38 000;2021.09.28;nagyker - Rasztovich;notebook;0;2021.09.21;árlista;;;;22000;nagyker
2020.02.10;KH;1;#HIÁNYZIK;;4n69ty1;H20/0:5157;Dell;Latitude E5430;Core i5;3340M;2700;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;;;magyar;gyenge;használt A;;;nincs;;9000;32000;nincs;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;előző árlistában szerepelt, most nem és nincs eladva;előző árlistában szerepelt, most nem és nincs eladva;0;;;-9000;alkatrésznek
2021.10.18;KH;1;#HIÁNYZIK;;g208ty1;H21/3:5934;Dell;Latitude E5430;Core i5;3340M;2700;4096;ddr3;500;sata hdd;100;0;dvd-rw;14;;HD (1366 x 768);integrált;hdmi;webcam;Win 7 pro;00186233648639;magyar;rossz;használt C;rossz akku;törött zsanér burkolat, enyhén karcos;nincs;;16000;;;;32 500;2021.11.18;dolgozói - KH;notebook;0;;;;;;16500;dolgozói
2020.11.11;Friesland;1;#HIÁNYZIK;;92l0k12;H20/3:8331;Dell;Latitude E5440;Core i3;4030U;1900;4096;ddr3;nincs;;;;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;nincs;használt C;hiányos, bios password;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;081;;;;;
2020.11.11;Friesland;1;#HIÁNYZIK;;1GK0K12;H20/3:8332;Dell;Latitude E5440;Core i3;4030U;1900;4096;ddr3;nincs;;;;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;nincs;használt C;hiányos, bios password;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;081;;;;;
2020.11.11;Friesland;1;#HIÁNYZIK;;F7K0K12;H20/3:8333;Dell;Latitude E5440;Core i3;4030U;1900;4096;ddr3;nincs;;;;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt C;hiányos, bios password, rossz akku;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;081;;;;;
2021.07.15;KH;1;#HIÁNYZIK;;3dzsk12;H21/2:0658;Dell;Latitude E5440;Core i5;?;?;nincs;ddr3;256;sata ssd;66;9;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt C;nem kapcsol be, nincs ram, rossz ssd;kopott;nincs;;2000;;;;;;;notebook;1;2022.01.07;081;;;;;
2020.10.21;KH;1;44000;;81q6k12;H20/3:4463;Dell;Latitude E5440;Core i5;4300U;1900;4096;ddr3;320;sata hdd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 10 home;;magyar;gyenge;használt A-;;display foltos, kopott;nincs;2021.02.16;4000;48000;44000;;;;;notebook;1;2022.01.07;árlista - eladótérben;;;;;
2019.11.13;KH;1;#HIÁNYZIK;;4H9PXZ1;H19/2:7239;Dell;Latitude E5440;Core i5;4300U;1900;8192;ddr3;120;sata ssd;100;0;dvd-rw;14;;;integrált;hdmi;webcam;Win 7 home;;magyar;ok;használt A-;;kopott;nincs;2021.04.13;8000;72000;68000;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-8000;alkatrésznek
